customer_id,age,gender,country,annual_income,total_spend,num_orders,avg_order_value,preferred_category,acquisition_channel,payment_method,device_type,customer_segment,satisfaction_score,days_since_last_order,churn_risk,loyalty_points,email_open_rate,return_rate,referral_count,account_age_days,avg_session_duration_sec,pages_per_session,cart_abandonment_rate,discount_usage_rate,reviews_submitted,wishlist_items,mobile_app_user,newsletter_subscriber,region
ECO-00045,20,Male,UK,29448,1803,8,225.38,Beauty & Care,Direct,Credit Card,Mobile,At-Risk,3.0,1,0,6766,0.17,0.072,2,1442,43.0,3,0.454,0.557,3,3,1,1,Europe
ECO-00046,51,Female,India,262029,12000,10,1200.0,Food & Gourmet,Organic Search,Debit Card,Mobile,Potential Loyalist,4.0,88,0,3571,0.487,0.048,1,2427,44.0,5,0.476,0.678,0,5,0,1,Asia Pacific
ECO-00047,47,Female,Germany,29651,2685,10,268.5,Home & Garden,Referral,UPI,Smart TV,Potential Loyalist,5.0,105,0,13772,0.182,0.08,1,1418,111.0,4,0.366,0.402,1,6,1,1,Europe
ECO-00048,44,Non-binary,Mexico,81207,8499,14,607.07,Fashion,Organic Search,Debit Card,Mobile,Potential Loyalist,3.0,1,0,14284,0.102,0.011,1,2112,30.0,7,0.823,0.474,0,5,1,1,Latin America
ECO-00049,26,Male,France,29110,3415,12,284.58,Beauty & Care,Social Media,Buy Now Pay Later,Tablet,Hibernating,4.0,11,1,5803,0.073,0.025,2,454,107.0,8,0.081,0.613,2,4,1,0,Europe
ECO-00050,45,Female,Japan,11633,1076,13,82.77,Food & Gourmet,Paid Ads,Credit Card,Tablet,Potential Loyalist,5.0,58,0,7893,0.309,0.077,1,1907,30.0,9,0.459,0.236,3,3,1,0,Asia Pacific
ECO-00051,32,Male,USA,27203,2677,10,267.7,Electronics,Paid Ads,Wallet,Mobile,Loyal,5.0,77,0,5992,0.31,0.278,1,2306,76.0,2,0.465,0.492,0,5,1,1,North America
ECO-00052,18,Female,Mexico,71701,6702,15,446.8,Home & Garden,Paid Ads,UPI,Mobile,New Customer,2.0,5,0,12222,0.114,0.112,4,1454,30.0,3,0.334,0.152,3,6,0,1,Latin America
ECO-00053,26,Male,France,32501,4091,14,292.21,Electronics,Social Media,Debit Card,Mobile,At-Risk,3.0,23,0,994,0.373,0.236,2,368,30.0,8,0.135,0.595,3,3,0,1,Europe
ECO-00054,20,Female,Japan,45143,3138,10,313.8,Books & Media,Paid Ads,UPI,Mobile,Champion,4.0,72,0,14390,0.451,0.1,3,1814,30.0,6,0.206,0.75,2,5,1,0,Asia Pacific
ECO-00055,43,Male,Brazil,51142,2399,10,239.9,Fashion,Referral,Buy Now Pay Later,Desktop,Hibernating,4.0,50,0,5042,0.017,0.133,1,98,30.0,6,0.237,0.766,0,5,0,1,Latin America
ECO-00056,46,Female,Brazil,47109,4442,14,317.29,Sports & Fitness,Email,Debit Card,Mobile,At-Risk,4.0,16,0,7144,0.256,0.149,2,1004,30.0,6,0.275,0.519,5,6,1,1,Latin America
ECO-00057,22,Male,Mexico,88860,4984,9,553.78,Food & Gourmet,Paid Ads,Debit Card,Mobile,New Customer,4.0,55,0,12672,0.298,0.034,3,113,32.0,7,0.21,0.257,0,3,1,1,Latin America
ECO-00058,32,Female,Mexico,43794,1552,9,172.44,Electronics,Direct,Debit Card,Mobile,New Customer,5.0,25,0,7290,0.301,0.225,0,48,30.0,6,0.392,0.692,1,4,1,1,Latin America
ECO-00059,38,Female,Australia,69421,2853,11,259.36,Sports & Fitness,Paid Ads,Debit Card,Mobile,Loyal,5.0,28,0,11067,0.041,0.051,1,635,30.0,5,0.466,0.236,2,3,1,1,Asia Pacific
ECO-00060,21,Female,Brazil,90615,8720,9,968.89,Books & Media,Email,Wallet,Mobile,Loyal,4.0,11,0,13762,0.294,0.024,2,1514,120.0,5,0.581,0.425,2,4,1,1,Latin America
ECO-00061,44,Female,Canada,65029,7444,7,1063.43,Books & Media,Email,UPI,Tablet,New Customer,5.0,49,1,7247,0.122,0.365,2,49,40.0,7,0.387,0.367,3,1,0,1,North America
ECO-00062,22,Female,Canada,14191,1194,5,238.8,Books & Media,Referral,Credit Card,Desktop,Lost,5.0,12,0,7408,0.309,0.079,1,2186,32.0,7,0.382,0.456,2,5,1,1,North America
ECO-00063,18,Male,France,33931,2481,13,190.85,Toys & Games,Organic Search,Credit Card,Desktop,Potential Loyalist,5.0,54,0,9129,0.159,0.032,1,2476,30.0,6,0.721,0.151,1,4,1,0,Europe
ECO-00064,24,Male,South Korea,41459,2861,12,238.42,Food & Gourmet,Paid Ads,Credit Card,Desktop,Potential Loyalist,4.0,27,0,14377,0.243,0.105,1,537,30.0,6,0.277,0.247,1,5,0,0,Asia Pacific
ECO-00065,29,Male,UAE,19834,1824,11,165.82,Fashion,Email,Credit Card,Desktop,Loyal,2.0,68,0,12595,0.325,0.113,2,1528,30.0,3,0.554,0.27,1,3,1,0,Middle East
ECO-00066,24,Female,USA,52809,1981,5,396.2,Beauty & Care,Social Media,Wallet,Mobile,Hibernating,3.0,13,0,447,0.328,0.261,2,195,71.0,5,0.324,0.173,3,2,0,1,North America
ECO-00067,47,Female,Canada,16329,1709,2,854.5,Fashion,Referral,UPI,Mobile,Loyal,4.0,9,0,4663,0.207,0.284,2,1407,30.0,2,0.401,0.2,3,0,1,1,North America
ECO-00068,34,Male,Mexico,120165,7943,6,1323.83,Sports & Fitness,Direct,Debit Card,Tablet,New Customer,3.0,5,0,1476,0.577,0.099,1,1602,78.0,4,0.361,0.091,0,3,1,0,Latin America
ECO-00069,18,Female,France,13178,961,1,961.0,Electronics,Direct,Debit Card,Desktop,At-Risk,5.0,72,1,1197,0.435,0.01,2,2105,30.0,7,0.21,0.442,2,3,1,1,Europe
ECO-00070,37,Female,UK,41794,3612,14,258.0,Toys & Games,Paid Ads,Debit Card,Desktop,Champion,3.0,343,1,6749,0.075,0.09,1,1917,30.0,8,0.208,0.287,1,3,1,0,Europe
ECO-00071,18,Male,France,6064,101,5,20.2,Sports & Fitness,Organic Search,Debit Card,Tablet,Lost,5.0,10,0,1207,0.149,0.044,2,2109,30.0,3,0.483,0.844,0,3,0,1,Europe
ECO-00072,50,Male,France,64295,5239,8,654.88,Food & Gourmet,Paid Ads,Wallet,Desktop,New Customer,5.0,25,0,6084,0.14,0.225,1,1683,30.0,5,0.286,0.182,0,2,0,1,Europe
ECO-00073,20,Male,UAE,21521,2119,13,163.0,Toys & Games,Direct,UPI,Desktop,Hibernating,3.0,5,0,3761,0.475,0.224,1,924,30.0,6,0.337,0.695,2,8,1,1,Middle East
ECO-00074,29,Female,Canada,47289,2815,7,402.14,Beauty & Care,Organic Search,Crypto,Mobile,Hibernating,1.0,27,1,14314,0.153,0.309,2,1361,40.0,7,0.507,0.244,5,3,0,0,North America
ECO-00075,36,Non-binary,South Korea,12184,954,10,95.4,Electronics,Organic Search,Wallet,Desktop,New Customer,4.0,34,0,11790,0.658,0.517,1,1504,35.0,5,0.283,0.535,3,8,0,1,Asia Pacific
ECO-00076,25,Male,Japan,25199,2238,10,223.8,Toys & Games,Email,UPI,Mobile,At-Risk,4.0,28,1,8085,0.442,0.124,0,1840,100.0,7,0.249,0.487,1,3,1,1,Asia Pacific
ECO-00077,23,Female,India,74434,8263,8,1032.88,Books & Media,Organic Search,Credit Card,Mobile,Loyal,2.0,122,0,5147,0.263,0.101,1,636,62.0,4,0.571,0.601,1,6,0,0,Asia Pacific
ECO-00078,36,Female,Brazil,42288,3134,11,284.91,Beauty & Care,Email,UPI,Mobile,Champion,5.0,6,0,7247,0.166,0.061,0,1739,30.0,4,0.169,0.773,0,4,0,1,Latin America
ECO-00079,18,Female,UAE,25609,954,11,86.73,Food & Gourmet,Social Media,Buy Now Pay Later,Mobile,New Customer,5.0,50,1,4081,0.323,0.307,2,2281,30.0,4,0.231,0.159,4,1,1,0,Middle East
ECO-00080,45,Male,UK,62241,3784,10,378.4,Food & Gourmet,Social Media,Debit Card,Mobile,Champion,4.0,32,0,652,0.577,0.101,1,2256,82.0,4,0.116,0.418,1,3,1,0,Europe
ECO-00081,19,Female,Japan,31732,3008,5,601.6,Beauty & Care,Organic Search,Debit Card,Desktop,Potential Loyalist,5.0,42,0,10627,0.38,0.07,0,1855,48.0,7,0.836,0.564,1,5,1,0,Asia Pacific
ECO-00082,20,Female,South Korea,97823,9703,8,1212.88,Sports & Fitness,Organic Search,Buy Now Pay Later,Tablet,At-Risk,4.0,22,0,3518,0.393,0.055,0,24,35.0,3,0.482,0.282,6,7,0,1,Asia Pacific
ECO-00083,32,Male,Brazil,62927,5249,10,524.9,Books & Media,Social Media,Buy Now Pay Later,Mobile,Champion,4.0,56,0,7339,0.617,0.248,1,910,45.0,7,0.695,0.487,2,3,0,1,Latin America
ECO-00084,18,Male,India,105818,9383,7,1340.43,Home & Garden,Organic Search,Debit Card,Mobile,Loyal,3.0,133,0,3036,0.48,0.284,1,1559,30.0,7,0.214,0.35,2,3,1,1,Asia Pacific
ECO-00085,33,Female,UAE,26053,2641,7,377.29,Beauty & Care,Referral,Buy Now Pay Later,Tablet,Lost,4.0,4,0,6544,0.147,0.154,3,2062,64.0,7,0.23,0.16,3,3,1,1,Middle East
ECO-00086,25,Female,Germany,239438,7481,9,831.22,Food & Gourmet,Paid Ads,Credit Card,Mobile,Lost,4.0,77,1,5280,0.26,0.172,2,349,30.0,6,0.56,0.06,2,8,0,0,Europe
ECO-00087,37,Female,France,18982,2712,8,339.0,Books & Media,Social Media,Wallet,Desktop,Potential Loyalist,1.0,6,0,750,0.036,0.03,1,2340,30.0,7,0.423,0.013,1,8,1,1,Europe
ECO-00088,32,Female,Australia,11198,1634,12,136.17,Food & Gourmet,Referral,Debit Card,Desktop,Potential Loyalist,4.0,7,0,6337,0.226,0.05,3,427,62.0,10,0.332,0.047,1,2,1,1,Asia Pacific
ECO-00089,43,Male,Germany,116126,8070,12,672.5,Electronics,Referral,Debit Card,Mobile,Loyal,5.0,12,0,14007,0.203,0.035,0,2427,57.0,9,0.534,0.583,1,4,0,0,Europe
ECO-00090,24,Male,Germany,45529,4750,10,475.0,Books & Media,Organic Search,Buy Now Pay Later,Tablet,At-Risk,3.0,41,0,10876,0.625,0.061,0,1927,36.0,6,0.103,0.345,5,9,0,1,Europe
ECO-00091,42,Female,UK,20887,1254,12,104.5,Books & Media,Paid Ads,Credit Card,Mobile,Loyal,5.0,50,0,8122,0.334,0.15,0,1116,30.0,4,0.202,0.581,2,3,1,0,Europe
ECO-00092,33,Male,Mexico,197010,12000,7,1714.29,Food & Gourmet,Paid Ads,Buy Now Pay Later,Desktop,Champion,4.0,28,1,13290,0.194,0.085,2,880,30.0,6,0.427,0.091,1,4,0,1,Latin America
ECO-00093,28,Female,Japan,25981,3057,10,305.7,Fashion,Email,Credit Card,Desktop,Hibernating,5.0,19,0,1868,0.487,0.057,2,1793,56.0,8,0.605,0.788,2,2,1,1,Asia Pacific
ECO-00094,36,Male,Germany,39681,3630,9,403.33,Electronics,Organic Search,Debit Card,Mobile,Loyal,3.0,173,0,1378,0.047,0.087,0,1856,32.0,5,0.53,0.356,3,1,1,0,Europe
ECO-00095,25,Male,UAE,57676,5692,14,406.57,Toys & Games,Organic Search,UPI,Mobile,Potential Loyalist,4.0,51,0,14323,0.233,0.056,4,1863,30.0,5,0.446,0.22,0,4,1,1,Middle East
ECO-00096,27,Male,Mexico,20614,1861,11,169.18,Beauty & Care,Organic Search,Credit Card,Desktop,Potential Loyalist,5.0,2,0,12405,0.274,0.102,5,1503,30.0,7,0.703,0.406,2,6,1,0,Latin America
ECO-00097,28,Male,France,60401,6425,11,584.09,Home & Garden,Social Media,Wallet,Tablet,Champion,3.0,22,0,13051,0.261,0.094,2,48,76.0,5,0.484,0.432,0,4,0,1,Europe
ECO-00098,35,Female,Mexico,22993,1798,8,224.75,Home & Garden,Paid Ads,Buy Now Pay Later,Desktop,Hibernating,5.0,17,0,4105,0.247,0.319,2,441,43.0,4,0.358,0.365,2,0,1,1,Latin America
ECO-00099,32,Male,Japan,21897,2137,8,267.12,Sports & Fitness,Email,UPI,Mobile,Lost,1.0,17,0,1726,0.238,0.186,0,1282,30.0,4,0.64,0.205,6,4,1,0,Asia Pacific
ECO-00100,18,Male,Canada,105610,8079,11,734.45,Fashion,Organic Search,Credit Card,Mobile,Potential Loyalist,4.0,0,0,11904,0.105,0.09,4,2007,33.0,6,0.462,0.203,2,3,1,1,North America
ECO-00101,49,Non-binary,Australia,103945,8242,5,1648.4,Toys & Games,Referral,Credit Card,Desktop,At-Risk,4.0,55,0,9559,0.672,0.227,7,2365,30.0,6,0.463,0.328,3,5,1,1,Asia Pacific
ECO-00102,52,Female,South Korea,40622,4364,12,363.67,Beauty & Care,Social Media,Debit Card,Smart TV,Potential Loyalist,5.0,4,0,11408,0.232,0.213,2,825,158.0,4,0.613,0.636,2,6,1,0,Asia Pacific
ECO-00103,26,Male,Mexico,18875,2031,9,225.67,Books & Media,Paid Ads,Wallet,Mobile,New Customer,4.0,57,0,8111,0.271,0.083,2,757,136.0,6,0.705,0.473,2,3,1,1,Latin America
ECO-00104,43,Female,Canada,11103,656,7,93.71,Fashion,Paid Ads,Credit Card,Desktop,Loyal,5.0,82,0,6071,0.416,0.11,0,556,31.0,4,0.487,0.531,7,3,0,1,North America
ECO-00105,40,Female,South Korea,33599,2005,9,222.78,Electronics,Referral,UPI,Tablet,Lost,2.0,37,0,11833,0.438,0.276,4,1135,30.0,5,0.35,0.464,2,6,0,0,Asia Pacific
ECO-00106,29,Female,USA,53743,5026,8,628.25,Fashion,Social Media,Credit Card,Desktop,New Customer,5.0,147,1,1540,0.419,0.071,2,1426,30.0,8,0.313,0.506,3,2,1,1,North America
ECO-00107,31,Male,Brazil,41985,3089,10,308.9,Food & Gourmet,Referral,Credit Card,Mobile,Loyal,4.0,108,0,14153,0.295,0.049,1,1079,30.0,6,0.21,0.661,2,4,0,1,Latin America
ECO-00108,45,Female,Mexico,24943,2189,11,199.0,Toys & Games,Direct,Credit Card,Mobile,New Customer,5.0,23,0,14492,0.596,0.161,0,119,78.0,5,0.622,0.386,4,6,1,0,Latin America
ECO-00109,18,Female,Brazil,96801,11570,8,1446.25,Books & Media,Email,UPI,Mobile,At-Risk,5.0,66,1,8979,0.294,0.009,0,824,58.0,4,0.621,0.345,1,0,1,0,Latin America
ECO-00110,42,Male,USA,60956,6211,2,3105.5,Food & Gourmet,Organic Search,Credit Card,Desktop,Potential Loyalist,3.0,0,0,13876,0.13,0.107,3,2168,110.0,5,0.501,0.123,5,1,1,0,North America
ECO-00111,47,Male,UAE,43469,4316,4,1079.0,Toys & Games,Paid Ads,Debit Card,Mobile,New Customer,4.0,110,0,7386,0.501,0.17,2,1535,36.0,5,0.357,0.426,2,3,1,0,Middle East
ECO-00112,26,Male,Mexico,27876,1254,12,104.5,Food & Gourmet,Organic Search,Wallet,Mobile,New Customer,3.0,70,0,12482,0.245,0.138,2,724,32.0,4,0.164,0.296,1,4,0,0,Latin America
ECO-00113,50,Female,Canada,21183,481,12,40.08,Sports & Fitness,Paid Ads,Buy Now Pay Later,Mobile,Champion,2.0,3,0,4092,0.111,0.067,3,174,71.0,4,0.488,0.381,2,2,1,1,North America
ECO-00114,42,Female,Brazil,33699,3425,6,570.83,Home & Garden,Organic Search,Credit Card,Mobile,Loyal,3.0,12,0,11232,0.312,0.091,2,87,41.0,6,0.473,0.247,5,3,1,1,Latin America
ECO-00115,46,Male,India,13814,20,8,2.5,Fashion,Referral,Wallet,Mobile,Champion,4.0,77,0,9176,0.105,0.096,0,1479,66.0,5,0.498,0.754,1,6,0,1,Asia Pacific
ECO-00116,32,Male,USA,107659,10060,6,1676.67,Home & Garden,Organic Search,Debit Card,Mobile,Champion,4.0,6,0,9127,0.495,0.058,1,1849,32.0,7,0.221,0.18,3,7,1,0,North America
ECO-00117,22,Non-binary,UAE,29865,1467,5,293.4,Food & Gourmet,Organic Search,Debit Card,Tablet,Champion,4.0,69,0,14567,0.43,0.138,1,816,42.0,5,0.72,0.889,4,5,1,1,Middle East
ECO-00118,29,Male,Australia,42402,2190,8,273.75,Home & Garden,Paid Ads,Credit Card,Mobile,Potential Loyalist,4.0,11,0,12573,0.059,0.079,2,1092,34.0,9,0.436,0.65,1,2,0,0,Asia Pacific
ECO-00119,18,Male,UK,11447,603,9,67.0,Electronics,Direct,Credit Card,Desktop,Loyal,5.0,22,0,7384,0.178,0.048,1,1675,56.0,5,0.317,0.732,1,5,1,0,Europe
ECO-00120,24,Female,Japan,52172,4582,10,458.2,Food & Gourmet,Email,Debit Card,Mobile,Hibernating,4.0,12,1,14094,0.201,0.178,1,918,30.0,8,0.283,0.258,1,4,1,0,Asia Pacific
ECO-00121,41,Non-binary,UK,69392,2968,7,424.0,Toys & Games,Paid Ads,Credit Card,Desktop,Loyal,4.0,29,0,2760,0.098,0.064,0,627,52.0,6,0.844,0.272,2,8,1,1,Europe
ECO-00122,24,Male,Australia,145742,12000,11,1090.91,Toys & Games,Organic Search,Debit Card,Desktop,Loyal,2.0,44,0,12485,0.101,0.161,1,1184,153.0,9,0.522,0.623,0,9,0,1,Asia Pacific
ECO-00123,38,Female,Australia,93051,9296,9,1032.89,Home & Garden,Organic Search,Credit Card,Mobile,Loyal,4.0,71,0,5617,0.546,0.14,1,252,30.0,5,0.16,0.047,3,4,1,1,Asia Pacific
ECO-00124,56,Female,South Korea,46022,2203,13,169.46,Beauty & Care,Referral,Debit Card,Mobile,Lost,2.0,26,0,2438,0.262,0.134,1,201,48.0,6,0.501,0.073,3,9,1,0,Asia Pacific
ECO-00125,28,Non-binary,Mexico,29936,2137,9,237.44,Sports & Fitness,Social Media,UPI,Mobile,Loyal,5.0,28,0,3974,0.516,0.091,2,2338,30.0,7,0.537,0.081,3,6,0,1,Latin America
ECO-00126,37,Male,France,28952,504,14,36.0,Beauty & Care,Paid Ads,Credit Card,Mobile,At-Risk,4.0,49,0,3916,0.348,0.279,1,476,33.0,4,0.676,0.525,3,2,0,1,Europe
