customer_id,age,gender,country,annual_income,total_spend,num_orders,avg_order_value,preferred_category,acquisition_channel,payment_method,device_type,customer_segment,satisfaction_score,days_since_last_order,churn_risk,loyalty_points,email_open_rate,return_rate,referral_count,account_age_days,avg_session_duration_sec,pages_per_session,cart_abandonment_rate,discount_usage_rate,reviews_submitted,wishlist_items,mobile_app_user,newsletter_subscriber,region,clv_score,engagement_score,spend_to_income_ratio,recency_score,digital_maturity_score,value_tier,income_bracket,age_group,tenure_tier,session_depth,rfm_score,cluster,pca1,pca2
ECO-00011,22,Female,USA,30468,2831,11,257.36,Toys & Games,Organic Search,UPI,Mobile,Potential Loyalist,2.0,94,0,2784,0.315,0.054,3,1068,30.0,8,0.311,0.144,2,2,0,0,North America,1071.25,0.1896,0.0929,0.765,0.06,Silver,Mid,Gen Z (18-25),2-4yr,Bouncer,0.4027,3,-1.1195862954456186,0.16472271733567695
ECO-00012,24,Male,UAE,21604,882,13,67.85,Fashion,Referral,Debit Card,Mobile,At-Risk,4.0,21,0,1474,0.285,0.516,3,656,30.0,10,0.352,0.329,0,3,1,0,Middle East,341.51,0.1804,0.0408,0.9475,0.475,Bronze,Low,Gen Z (18-25),1-2yr,Bouncer,0.4295,0,-1.453175914353325,0.5178394278071103
ECO-00013,22,Male,UAE,61079,6861,8,857.62,Beauty & Care,Paid Ads,Debit Card,Mobile,Loyal,4.0,17,0,14785,0.066,0.269,1,1608,30.0,4,0.485,0.543,3,4,0,0,Middle East,4012.31,0.0923,0.1123,0.9575,0.03,Diamond,High,Gen Z (18-25),4yr+,Bouncer,0.5533,1,1.3204950537972666,-1.6006718931799198
ECO-00014,33,Female,France,29946,2298,10,229.8,Toys & Games,Email,Debit Card,Mobile,New Customer,4.0,1,0,636,0.212,0.124,6,2156,30.0,7,0.612,0.165,3,3,1,1,Europe,1610.44,0.2947,0.0767,0.9975,0.7525,Gold,Mid,Millennial (26-35),4yr+,Bouncer,0.4649,0,-0.5601490127818236,0.9737366503017422
ECO-00015,35,Male,France,66905,6244,5,1248.8,Sports & Fitness,Email,Debit Card,Mobile,Potential Loyalist,4.0,21,1,12638,0.387,0.033,2,612,49.0,5,0.611,0.573,1,2,0,1,Europe,4830.36,0.2576,0.0933,0.9475,0.3375,Diamond,Premium,Millennial (26-35),1-2yr,Bouncer,0.5169,1,1.582597051243879,-0.5608003124364007
ECO-00016,18,Male,India,31800,2839,8,354.88,Food & Gourmet,Paid Ads,Debit Card,Desktop,Champion,4.0,34,0,9764,0.13,0.032,3,2145,72.0,8,0.206,0.372,2,1,0,1,Asia Pacific,2198.52,0.2308,0.0893,0.915,0.36,Gold,Mid,Gen Z (18-25),4yr+,Bouncer,0.4379,0,-0.22336712530305428,-0.11182455445013775
ECO-00017,45,Non-binary,Canada,29212,3223,4,805.75,Books & Media,Referral,UPI,Mobile,Lost,4.0,39,0,7390,0.3,0.236,1,1191,36.0,7,0.365,0.28,2,5,1,0,North America,1969.9,0.1342,0.1103,0.9025,0.4525,Gold,Mid,Gen X (36-45),2-4yr,Bouncer,0.4198,0,-0.18033481606310633,-2.074131905826757
ECO-00018,34,Male,Australia,57683,7100,8,887.5,Books & Media,Direct,Wallet,Mobile,Lost,4.0,14,0,5758,0.579,0.138,1,2096,30.0,8,0.833,0.133,2,13,0,1,Asia Pacific,4896.16,0.3231,0.1231,0.965,0.36,Diamond,High,Millennial (26-35),4yr+,Bouncer,0.5619,1,1.790010195594811,0.8277350614151765
ECO-00019,32,Female,USA,27638,3211,8,401.38,Sports & Fitness,Organic Search,Credit Card,Mobile,At-Risk,4.0,35,0,1231,0.214,0.234,0,2456,131.0,3,0.358,0.757,0,1,1,1,North America,1967.7,0.1943,0.1162,0.9125,0.7225,Gold,Mid,Millennial (26-35),4yr+,Browser,0.4463,0,-0.22919345156441864,-0.49670329566172167
ECO-00020,30,Male,Mexico,28220,2764,7,394.86,Fashion,Paid Ads,Credit Card,Desktop,Loyal,4.0,42,0,8447,0.194,0.447,3,2310,191.0,5,0.555,0.292,3,3,1,1,Latin America,1222.79,0.2427,0.0979,0.895,0.7375,Silver,Mid,Millennial (26-35),4yr+,Browser,0.4232,0,-0.5551678202912497,-0.2160938680461001
ECO-00021,51,Female,Japan,59829,4059,14,289.93,Sports & Fitness,Paid Ads,Credit Card,Mobile,Loyal,4.0,13,1,3815,0.231,0.252,0,2129,116.0,5,0.637,0.418,2,5,1,1,Asia Pacific,2428.91,0.2436,0.0678,0.9675,0.7375,Platinum,High,Boomer (46-55),4yr+,Bouncer,0.5218,0,0.052200796574806155,1.4105533505690697
ECO-00022,31,Male,UAE,17062,834,9,92.67,Home & Garden,Direct,UPI,Mobile,At-Risk,5.0,70,0,11871,0.231,0.137,1,356,30.0,6,0.74,0.205,2,3,0,0,Middle East,719.74,0.1352,0.0489,0.825,0.045,Bronze,Low,Millennial (26-35),3-12mo,Bouncer,0.3621,0,-1.0779113307488057,-0.7635869061861156
ECO-00023,32,Female,India,34662,3138,4,784.5,Fashion,Organic Search,Credit Card,Desktop,Loyal,4.0,93,0,4272,0.595,0.072,3,2019,30.0,8,0.442,0.905,1,4,1,0,Asia Pacific,2329.65,0.2229,0.0905,0.7675,0.46,Platinum,Mid,Millennial (26-35),4yr+,Bouncer,0.3704,2,-0.04438596763002328,-1.0385873162610246
ECO-00024,41,Male,Japan,32550,1440,13,110.77,Books & Media,Social Media,Debit Card,Tablet,At-Risk,2.0,29,0,628,0.177,0.356,3,65,91.0,7,0.166,0.135,3,3,1,1,Asia Pacific,370.94,0.2684,0.0442,0.9275,0.7525,Bronze,Mid,Gen X (36-45),<3mo,Bouncer,0.4365,3,-1.6905034982067098,1.3499017528429762
ECO-00025,33,Female,Canada,16660,1301,7,185.86,Home & Garden,Organic Search,UPI,Mobile,At-Risk,5.0,39,0,8330,0.196,0.116,1,2448,63.0,7,0.526,0.725,1,3,1,1,North America,1150.08,0.2132,0.0781,0.9025,0.7525,Silver,Low,Millennial (26-35),4yr+,Bouncer,0.3892,0,-0.7385082957992466,-0.47457484617519924
ECO-00026,42,Male,UK,56403,4303,8,537.88,Sports & Fitness,Organic Search,Credit Card,Mobile,Lost,4.0,9,0,12221,0.456,0.1,2,362,30.0,3,0.38,0.374,2,3,0,1,Europe,3098.16,0.2898,0.0763,0.9775,0.3225,Platinum,High,Gen X (36-45),3-12mo,Bouncer,0.4964,0,0.4743138259515937,0.46457490856818107
ECO-00027,34,Non-binary,France,70451,6622,9,735.78,Food & Gourmet,Organic Search,UPI,Mobile,Loyal,2.0,40,0,13584,0.07,0.179,1,2124,30.0,5,0.636,0.188,1,3,1,1,Europe,2174.66,0.185,0.094,0.9,0.7375,Gold,Premium,Millennial (26-35),4yr+,Bouncer,0.533,3,0.22721451117960553,-0.46330042448497233
ECO-00028,34,Non-binary,South Korea,26953,807,6,134.5,Sports & Fitness,Direct,Credit Card,Mobile,Champion,4.0,22,1,9808,0.122,0.192,5,804,48.0,7,0.312,0.385,3,3,1,1,Asia Pacific,521.64,0.2455,0.0299,0.945,0.7525,Bronze,Mid,Millennial (26-35),2-4yr,Bouncer,0.3859,0,-1.2510028931314574,-0.46036581067196863
ECO-00029,47,Non-binary,Germany,47409,4158,9,462.0,Toys & Games,Organic Search,Credit Card,Mobile,Hibernating,2.0,20,0,9475,0.303,0.001,1,365,31.0,5,0.737,0.704,1,3,1,1,Europe,1661.54,0.2432,0.0877,0.95,0.7375,Gold,High,Boomer (46-55),3-12mo,Bouncer,0.4889,3,-0.5202476978325596,0.11624072235007019
ECO-00030,33,Female,France,40080,2281,7,325.86,Toys & Games,Paid Ads,Buy Now Pay Later,Desktop,Hibernating,3.0,7,0,12182,0.249,0.058,2,1131,30.0,4,0.21,0.157,2,2,1,1,Europe,1289.22,0.2364,0.0569,0.9825,0.73,Silver,Mid,Millennial (26-35),2-4yr,Bouncer,0.4417,3,-0.859014301279122,-0.39867027942203664
ECO-00031,24,Female,Australia,40694,3799,8,474.88,Sports & Fitness,Paid Ads,Wallet,Mobile,At-Risk,5.0,89,0,12009,0.556,0.111,3,1265,30.0,9,0.613,0.492,3,2,1,1,Asia Pacific,3377.31,0.3473,0.0934,0.7775,0.7675,Platinum,High,Gen Z (18-25),2-4yr,Bouncer,0.4138,0,0.673484614117946,1.2740467412762508
ECO-00032,20,Female,Mexico,62734,2214,14,158.14,Toys & Games,Email,Debit Card,Mobile,Potential Loyalist,3.0,19,0,11588,0.058,0.104,3,2242,54.0,6,0.339,0.751,2,5,0,0,Latin America,1190.25,0.1328,0.0353,0.9525,0.045,Silver,Premium,Gen Z (18-25),4yr+,Bouncer,0.4704,3,-1.0875240110191078,0.19927699721168246
ECO-00033,34,Male,Germany,61891,2989,8,373.62,Sports & Fitness,Social Media,Credit Card,Mobile,At-Risk,2.0,29,0,10237,0.25,0.04,2,906,30.0,9,0.516,0.118,1,3,1,1,Europe,1147.78,0.2458,0.0483,0.9275,0.7675,Silver,High,Millennial (26-35),2-4yr,Bouncer,0.446,3,-0.9639400529688874,-0.0778041089073478
ECO-00034,23,Female,UK,19058,667,8,83.38,Fashion,Organic Search,Credit Card,Mobile,Loyal,5.0,37,0,717,0.416,0.116,0,643,30.0,7,0.354,0.614,3,4,0,0,Europe,589.63,0.1773,0.035,0.9075,0.0525,Bronze,Low,Gen Z (18-25),1-2yr,Bouncer,0.381,0,-1.1207089867488813,-0.6197780256600486
ECO-00035,42,Male,South Korea,44433,5039,8,629.88,Fashion,Referral,UPI,Mobile,At-Risk,5.0,23,0,7777,0.051,0.053,3,273,56.0,8,0.376,0.344,3,6,1,0,Asia Pacific,4771.93,0.1186,0.1134,0.9425,0.46,Diamond,High,Gen X (36-45),3-12mo,Bouncer,0.5025,1,1.3607679345969572,-1.248845512921805
ECO-00036,37,Male,Brazil,36846,2743,9,304.78,Home & Garden,Email,Credit Card,Mobile,Potential Loyalist,3.0,19,0,8321,0.415,0.139,4,1059,56.0,3,0.31,0.443,2,4,1,0,Latin America,1417.03,0.2037,0.0744,0.9525,0.4225,Silver,Mid,Gen X (36-45),2-4yr,Bouncer,0.4544,3,-0.7559869587967496,-0.2450576237004436
ECO-00037,30,Male,Canada,86247,9503,9,1055.89,Electronics,Email,Credit Card,Desktop,Loyal,4.0,42,0,3654,0.312,0.005,1,612,30.0,9,0.209,0.245,3,6,1,1,North America,7564.39,0.2705,0.1102,0.895,0.7675,Diamond,Premium,Millennial (26-35),1-2yr,Bouncer,0.6033,1,3.2481054738987174,0.5742252671849066
ECO-00038,26,Non-binary,UAE,36648,2473,5,494.6,Food & Gourmet,Email,Debit Card,Mobile,Hibernating,5.0,53,0,4803,0.077,0.447,1,1266,45.0,7,0.813,0.483,0,2,1,1,Middle East,1367.57,0.1676,0.0675,0.8675,0.7525,Silver,Mid,Millennial (26-35),2-4yr,Bouncer,0.3946,0,-0.3643323414813116,-1.406847564223055
ECO-00039,33,Female,Japan,39099,3073,7,439.0,Fashion,Referral,Credit Card,Desktop,Potential Loyalist,4.0,31,0,2104,0.313,0.029,1,1562,30.0,4,0.374,0.29,3,4,0,1,Asia Pacific,2387.11,0.2499,0.0786,0.9225,0.33,Platinum,Mid,Millennial (26-35),4yr+,Bouncer,0.4405,0,-0.07375032576323053,-0.15388362499903352
ECO-00040,40,Male,France,31119,1720,3,573.33,Electronics,Social Media,UPI,Mobile,Lost,4.0,6,0,429,0.316,0.088,0,514,77.0,5,0.497,0.092,0,5,1,0,Europe,1254.91,0.104,0.0553,0.985,0.4375,Silver,Mid,Gen X (36-45),1-2yr,Bouncer,0.4052,0,-0.7835358094586917,-2.6910664168137273
ECO-00041,43,Non-binary,Canada,32272,1284,14,91.71,Sports & Fitness,Organic Search,UPI,Mobile,Lost,4.0,78,0,13953,0.415,0.242,2,1330,105.0,6,0.351,0.25,1,6,1,1,North America,778.62,0.3046,0.0398,0.805,0.745,Bronze,Mid,Gen X (36-45),2-4yr,Bouncer,0.3955,0,-1.174353911398959,2.1696461621142316
ECO-00042,20,Female,India,6928,175,15,11.67,Electronics,Email,Wallet,Mobile,Lost,4.0,21,0,6012,0.475,0.043,1,1629,106.0,4,0.057,0.188,1,4,0,0,Asia Pacific,133.98,0.2088,0.0253,0.9475,0.03,Bronze,Low,Gen Z (18-25),4yr+,Bouncer,0.4235,0,-1.720627043002124,1.2935927435126506
ECO-00043,54,Male,France,41209,4193,10,419.3,Books & Media,Organic Search,Credit Card,Tablet,Loyal,4.0,11,0,5145,0.167,0.142,1,1192,30.0,7,0.754,0.07,3,7,0,0,Europe,2878.08,0.1334,0.1017,0.9725,0.0525,Platinum,High,Boomer (46-55),2-4yr,Bouncer,0.5035,0,0.26261200904186605,-0.7025995406199078
ECO-00044,26,Male,Australia,22220,577,8,72.12,Home & Garden,Social Media,Credit Card,Mobile,New Customer,3.0,119,0,2024,0.099,0.216,0,2489,36.0,7,0.166,0.821,6,1,1,1,Asia Pacific,271.42,0.2206,0.026,0.7025,0.7525,Bronze,Low,Millennial (26-35),4yr+,Bouncer,0.307,2,-1.667467558022366,-0.12214281259555775
ECO-00045,20,Male,UK,29448,1803,8,225.38,Beauty & Care,Direct,Credit Card,Mobile,At-Risk,3.0,1,0,6766,0.17,0.072,2,1442,43.0,3,0.454,0.557,3,3,1,1,Europe,1003.91,0.2258,0.0612,0.9975,0.7225,Silver,Mid,Gen Z (18-25),2-4yr,Bouncer,0.4409,3,-1.0961477153592245,-0.2836551755179931
ECO-00046,51,Female,India,262029,12000,10,1200.0,Food & Gourmet,Organic Search,Debit Card,Mobile,Potential Loyalist,4.0,88,0,3571,0.487,0.048,1,2427,44.0,5,0.476,0.678,0,5,0,1,Asia Pacific,9139.2,0.2859,0.0458,0.78,0.3375,Diamond,Premium,Boomer (46-55),4yr+,Bouncer,0.6313,1,4.3810079849119585,1.06205466725971
ECO-00047,47,Female,Germany,29651,2685,10,268.5,Home & Garden,Referral,UPI,Smart TV,Potential Loyalist,5.0,105,0,13772,0.182,0.08,1,1418,111.0,4,0.366,0.402,1,6,1,1,Europe,2470.2,0.2147,0.0906,0.7375,0.73,Platinum,Mid,Boomer (46-55),2-4yr,Bouncer,0.3836,2,-0.010747132318059651,0.38159675987387337
ECO-00048,44,Non-binary,Mexico,81207,8499,14,607.07,Fashion,Organic Search,Debit Card,Mobile,Potential Loyalist,3.0,1,0,14284,0.102,0.011,1,2112,30.0,7,0.823,0.474,0,5,1,1,Latin America,5043.31,0.2113,0.1047,0.9975,0.7525,Diamond,Premium,Gen X (36-45),4yr+,Bouncer,0.6433,1,1.81053467877437,0.9988824957444916
ECO-00049,26,Male,France,29110,3415,12,284.58,Beauty & Care,Social Media,Buy Now Pay Later,Tablet,Hibernating,4.0,11,1,5803,0.073,0.025,2,454,107.0,8,0.081,0.613,2,4,1,0,Europe,2663.7,0.1233,0.1173,0.9725,0.46,Platinum,Mid,Millennial (26-35),1-2yr,Bouncer,0.4958,0,-0.042235799945242306,-0.33184161911234744
ECO-00050,45,Female,Japan,11633,1076,13,82.77,Food & Gourmet,Paid Ads,Credit Card,Tablet,Potential Loyalist,5.0,58,0,7893,0.309,0.077,1,1907,30.0,9,0.459,0.236,3,3,1,0,Asia Pacific,993.15,0.1864,0.0925,0.855,0.4675,Silver,Low,Gen X (36-45),4yr+,Bouncer,0.402,0,-0.9728074196534344,0.7064955213518797
ECO-00051,32,Male,USA,27203,2677,10,267.7,Electronics,Paid Ads,Wallet,Mobile,Loyal,5.0,77,0,5992,0.31,0.278,1,2306,76.0,2,0.465,0.492,0,5,1,1,North America,1932.79,0.2342,0.0984,0.8075,0.715,Gold,Mid,Millennial (26-35),4yr+,Bouncer,0.4079,0,-0.18464846292070233,0.53172579618534
ECO-00052,18,Female,Mexico,71701,6702,15,446.8,Home & Garden,Paid Ads,UPI,Mobile,New Customer,2.0,5,0,12222,0.114,0.112,4,1454,30.0,3,0.334,0.152,3,6,0,1,Latin America,2380.55,0.261,0.0935,0.9875,0.3225,Platinum,Premium,Gen Z (18-25),2-4yr,Bouncer,0.6007,3,0.24773239240274303,1.701581347691979
ECO-00053,26,Male,France,32501,4091,14,292.21,Electronics,Social Media,Debit Card,Mobile,At-Risk,3.0,23,0,994,0.373,0.236,2,368,30.0,8,0.135,0.595,3,3,0,1,Europe,1875.31,0.3141,0.1259,0.9425,0.36,Gold,Mid,Millennial (26-35),1-2yr,Bouncer,0.5138,3,-0.31115596652903077,2.113525771933756
ECO-00054,20,Female,Japan,45143,3138,10,313.8,Books & Media,Paid Ads,UPI,Mobile,Champion,4.0,72,0,14390,0.451,0.1,3,1814,30.0,6,0.206,0.75,2,5,1,0,Asia Pacific,2259.36,0.2144,0.0695,0.82,0.445,Gold,High,Gen Z (18-25),4yr+,Bouncer,0.4238,0,-0.17954606689466612,0.2612701923094952
ECO-00055,43,Male,Brazil,51142,2399,10,239.9,Fashion,Referral,Buy Now Pay Later,Desktop,Hibernating,4.0,50,0,5042,0.017,0.133,1,98,30.0,6,0.237,0.766,0,5,0,1,Latin America,1663.95,0.1709,0.0469,0.875,0.345,Gold,High,Gen X (36-45),3-12mo,Bouncer,0.4246,0,-0.5815033070426053,-0.2387573688392072
ECO-00056,46,Female,Brazil,47109,4442,14,317.29,Sports & Fitness,Email,Debit Card,Mobile,At-Risk,4.0,16,0,7144,0.256,0.149,2,1004,30.0,6,0.275,0.519,5,6,1,1,Latin America,3024.11,0.2948,0.0943,0.96,0.745,Platinum,High,Boomer (46-55),2-4yr,Bouncer,0.5287,0,0.3737340877426846,1.9576555446814126
ECO-00057,22,Male,Mexico,88860,4984,9,553.78,Food & Gourmet,Paid Ads,Debit Card,Mobile,New Customer,4.0,55,0,12672,0.298,0.034,3,113,32.0,7,0.21,0.257,0,3,1,1,Latin America,3851.64,0.2595,0.0561,0.8625,0.7525,Diamond,Premium,Gen Z (18-25),3-12mo,Bouncer,0.479,0,0.8606216618752283,0.4714591200706374
ECO-00058,32,Female,Mexico,43794,1552,9,172.44,Electronics,Direct,Debit Card,Mobile,New Customer,5.0,25,0,7290,0.301,0.225,0,48,30.0,6,0.392,0.692,1,4,1,1,Latin America,1202.8,0.2352,0.0354,0.9375,0.745,Silver,High,Millennial (26-35),<3mo,Bouncer,0.4194,0,-0.6836621678167358,0.20690833290511781
ECO-00059,38,Female,Australia,69421,2853,11,259.36,Sports & Fitness,Paid Ads,Debit Card,Mobile,Loyal,5.0,28,0,11067,0.041,0.051,1,635,30.0,5,0.466,0.236,2,3,1,1,Asia Pacific,2707.5,0.1936,0.0411,0.93,0.7375,Platinum,Premium,Gen X (36-45),1-2yr,Bouncer,0.461,0,0.09546727474489711,0.2568123245230064
ECO-00060,21,Female,Brazil,90615,8720,9,968.89,Books & Media,Email,Wallet,Mobile,Loyal,4.0,11,0,13762,0.294,0.024,2,1514,120.0,5,0.581,0.425,2,4,1,1,Latin America,6808.58,0.2585,0.0962,0.9725,0.7375,Diamond,Premium,Gen Z (18-25),4yr+,Bouncer,0.6109,1,2.7960280059264844,0.3881904574706963
ECO-00061,44,Female,Canada,65029,7444,7,1063.43,Books & Media,Email,UPI,Tablet,New Customer,5.0,49,1,7247,0.122,0.365,2,49,40.0,7,0.387,0.367,3,1,0,1,North America,4726.94,0.2197,0.1145,0.8775,0.3525,Diamond,Premium,Gen X (36-45),<3mo,Bouncer,0.5341,1,1.9924041401511592,-0.3824708397227693
ECO-00062,22,Female,Canada,14191,1194,5,238.8,Books & Media,Referral,Credit Card,Desktop,Lost,5.0,12,0,7408,0.309,0.079,1,2186,32.0,7,0.382,0.456,2,5,1,1,North America,1099.67,0.2406,0.0841,0.97,0.7525,Silver,Low,Gen Z (18-25),4yr+,Bouncer,0.3985,0,-0.7285341900377125,-0.7121409304638402
ECO-00063,18,Male,France,33931,2481,13,190.85,Toys & Games,Organic Search,Credit Card,Desktop,Potential Loyalist,5.0,54,0,9129,0.159,0.032,1,2476,30.0,6,0.721,0.151,1,4,1,0,Europe,2401.61,0.1264,0.0731,0.865,0.445,Platinum,Mid,Gen Z (18-25),4yr+,Bouncer,0.4406,0,-0.172179435358662,0.0727772686099814
ECO-00064,24,Male,South Korea,41459,2861,12,238.42,Food & Gourmet,Paid Ads,Credit Card,Desktop,Potential Loyalist,4.0,27,0,14377,0.243,0.105,1,537,30.0,6,0.277,0.247,1,5,0,0,Asia Pacific,2048.48,0.1432,0.069,0.9325,0.045,Gold,High,Gen Z (18-25),1-2yr,Bouncer,0.4679,0,-0.38245387466063624,-0.09533264921074085
ECO-00065,29,Male,UAE,19834,1824,11,165.82,Fashion,Email,Credit Card,Desktop,Loyal,2.0,68,0,12595,0.325,0.113,2,1528,30.0,3,0.554,0.27,1,3,1,0,Middle East,647.16,0.1621,0.092,0.83,0.4225,Bronze,Low,Millennial (26-35),4yr+,Bouncer,0.4003,3,-1.5198612194601862,-0.17238438907642434
ECO-00066,24,Female,USA,52809,1981,5,396.2,Beauty & Care,Social Media,Wallet,Mobile,Hibernating,3.0,13,0,447,0.328,0.261,2,195,71.0,5,0.324,0.173,3,2,0,1,North America,878.38,0.2578,0.0375,0.9675,0.3375,Silver,High,Gen Z (18-25),3-12mo,Bouncer,0.4173,3,-1.027988216823608,-0.6403660205324211
ECO-00067,47,Female,Canada,16329,1709,2,854.5,Fashion,Referral,UPI,Mobile,Loyal,4.0,9,0,4663,0.207,0.284,2,1407,30.0,2,0.401,0.2,3,0,1,1,North America,978.92,0.2076,0.1047,0.9775,0.715,Silver,Low,Boomer (46-55),2-4yr,Bouncer,0.3965,0,-0.8156700634964194,-1.835140222913334
ECO-00068,34,Male,Mexico,120165,7943,6,1323.83,Sports & Fitness,Direct,Debit Card,Tablet,New Customer,3.0,5,0,1476,0.577,0.099,1,1602,78.0,4,0.361,0.091,0,3,1,0,Latin America,4293.99,0.1892,0.0661,0.9875,0.43,Diamond,Premium,Millennial (26-35),4yr+,Bouncer,0.5792,1,1.5530128822005167,-1.1341959032376945
ECO-00069,18,Female,France,13178,961,1,961.0,Electronics,Direct,Debit Card,Desktop,At-Risk,5.0,72,1,1197,0.435,0.01,2,2105,30.0,7,0.21,0.442,2,3,1,1,Europe,951.39,0.2654,0.0729,0.82,0.7525,Silver,Low,Gen Z (18-25),4yr+,Bouncer,0.3169,0,-0.7605590081754365,-1.293196478338903
ECO-00070,37,Female,UK,41794,3612,14,258.0,Toys & Games,Paid Ads,Debit Card,Desktop,Champion,3.0,343,1,6749,0.075,0.09,1,1917,30.0,8,0.208,0.287,1,3,1,0,Europe,1972.15,0.1146,0.0864,0.1425,0.46,Gold,High,Gen X (36-45),4yr+,Bouncer,0.2218,2,-0.5346251609521775,0.605693920121459
ECO-00071,18,Male,France,6064,101,5,20.2,Sports & Fitness,Organic Search,Debit Card,Tablet,Lost,5.0,10,0,1207,0.149,0.044,2,2109,30.0,3,0.483,0.844,0,3,0,1,Europe,96.56,0.1856,0.0167,0.975,0.3225,Bronze,Low,Gen Z (18-25),4yr+,Bouncer,0.3729,0,-1.3655373340915342,-1.2979642782083685
ECO-00072,50,Male,France,64295,5239,8,654.88,Food & Gourmet,Paid Ads,Wallet,Desktop,New Customer,5.0,25,0,6084,0.14,0.225,1,1683,30.0,5,0.286,0.182,0,2,0,1,Europe,4060.22,0.1908,0.0815,0.9375,0.3375,Diamond,Premium,Boomer (46-55),4yr+,Bouncer,0.5058,0,1.197261987781494,-0.4906013903405661
